,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,ape_cat4,enthic
0,1020Z,"Transform. & conserv. poisson, crustacés & mollusques",5,10,2,0,Z,,0
1,812,Activités de nettoyage,3,81,2,,,,1
2,1610B,Imprégnation du bois,5,16,1,0,B,,2
3,0910Z,Activités de soutien à l'extraction d'hydrocarbures,5,09,1,0,Z,,3
4,7420Z,Activités photographiques,5,74,2,0,Z,,4
5,4776Z,"Comm. dét. fleurs, plantes, etc, animaux de cie et leurs aliments",5,47,7,6,Z,,5
6,4742Z,Comm. détail matériels télécommunication (magasin spécialisé),5,47,4,2,Z,,6
7,2363,Fabrication de béton prêt à l'emploi,4,23,6,3,,,7
8,2652,Horlogerie,4,26,5,2,,,8
9,8122Z,Autres activités nettoyage des bâtiments et nettoyage industriel,5,81,2,2,Z,,9
10,94,Activités des organisations associatives,2,94,,,,,10
11,8622A,Activités de radiodiagnostic et de radiothérapie,5,86,2,2,A,,11
12,5010,Transports maritimes et côtiers de passagers,4,50,1,0,,,12
13,561,Restaurants et services de restauration mobile,3,56,1,,,,13
14,0114Z,Culture de la canne à sucre,5,01,1,4,Z,,14
15,1411Z,Fabrication de vêtements en cuir,5,14,1,1,Z,,15
16,267,Fabrication de matériels optique et photographique,3,26,7,,,,16
17,2640,Fabrication de produits électroniques grand public,4,26,4,0,,,17
18,1051B,Fabrication de beurre,5,10,5,1,B,,18
19,0162Z,Activités de soutien à la production animale,5,01,6,2,Z,,19
20,4666,Commerce de gros d'autres machines et équipements de bureau,4,46,6,6,,,20
21,309,Fabrication de matériels de transport n.c.a.,3,30,9,,,,21
22,475,Comm. détail autres équipts du foyer (magasin spécialisé),3,47,5,,,,22
23,01,"Culture et production animale, chasse et services annexes",2,01,,,,,23
24,0123Z,Culture d'agrumes,5,01,2,3,Z,,24
25,4520B,Entretien et réparation d'autres véhicules automobiles,5,45,2,0,B,,25
26,4789Z,Autres commerces de détail sur éventaires et marchés,5,47,8,9,Z,,26
27,2013B,Fabric. d'autres produits chimiques inorganiques de base n.c.a.,5,20,1,3,B,,27
28,89,Activités extractives n.c.a.,2,89,,,,,28
29,4675,Commerce de gros de produits chimiques,4,46,7,5,,,29
30,8219Z,Photocopie prépa. documents & aut. activ. spéc. soutien de bureau,5,82,1,9,Z,,30
31,4644Z,"Commerce de gros de vaisselle, verrerie et produits d'entretien",5,46,4,4,Z,,31
32,4624,Commerce de gros de cuirs et peaux,4,46,2,4,,,32
33,7740Z,Loc-bail de propriété intell. & sf oeuvres soumises à copyright,5,77,4,0,Z,,33
34,0161Z,Activités de soutien aux cultures,5,01,6,1,Z,,34
35,4669C,Comm. gros de fournitures & équipts divers pour commerces & sces,5,46,6,9,C,,35
36,4612A,Centrales d'achat de carburant,5,46,1,2,A,,36
37,32,Autres industries manufacturières,2,32,,,,,37
38,2453,Fonderie de métaux légers,4,24,5,3,,,38
39,2670Z,Fabrication de matériels optique et photographique,5,26,7,0,Z,,39
40,36,"Captage, traitement et distribution d'eau",2,36,,,,,40
41,6491,Crédit-bail,4,64,9,1,,,41
42,8211Z,Services administratifs combinés de bureau,5,82,1,1,Z,,42
43,6832B,Supports juridiques de gestion de patrimoine immobilier,5,68,3,2,B,,43
44,663,Gestion de fonds,3,66,3,,,,44
45,1511,"Apprêt, tannage des cuirs; préparation et teinture des fourrures",4,15,1,1,,,45
46,192,Raffinage du pétrole,3,19,2,,,,46
47,2443Z,"Métallurgie du plomb, du zinc ou de l'étain",5,24,4,3,Z,,47
48,2670,Fabrication de matériels optique et photographique,4,26,7,0,,,48
49,712,Activités de contrôle et analyses techniques,3,71,2,,,,49
50,8230,Organisation de salons professionnels et congrès,4,82,3,0,,,50
51,5629B,Autres services de restauration n.c.a.,5,56,2,9,B,,51
52,4932,Transports de voyageurs par taxis,4,49,3,2,,,52
53,289,Fabrication d'autres machines d'usage spécifique,3,28,9,,,,53
54,9412Z,Activités des organisations professionnelles,5,94,1,2,Z,,54
55,9492Z,Activités des organisations politiques,5,94,9,2,Z,,55
56,23,Récolte produits forestiers non ligneux poussant à l'état sauvage,2,23,,,,,56
57,3316,Réparation et maintenance d'aéronefs et d'engins spatiaux,4,33,1,6,,,57
58,58,Édition,2,58,,,,,58
59,8622,Activité des médecins spécialistes,4,86,2,2,,,59
60,9200Z,Organisation de jeux de hasard et d'argent,5,92,0,0,Z,,60
61,2442,Métallurgie de l'aluminium,4,24,4,2,,,61
62,3317,Réparation et maintenance d'autres équipements de transport,4,33,1,7,,,62
63,3099Z,Fabrication d’autres équipements de transport n.c.a.,5,30,9,9,Z,,63
64,4941B,Transports routiers de fret de proximité,5,49,4,1,B,,64
65,8622C,Autres activités des médecins spécialistes,5,86,2,2,C,,65
66,613,Télécommunications par satellite,3,61,3,,,,66
67,9601B,Blanchisserie-teinturerie de détail,5,96,0,1,B,,67
68,2896Z,Fabric. machines pour le travail du caoutchouc ou des plastiques,5,28,9,6,Z,,68
69,2561Z,Traitement et revêtement des métaux,5,25,6,1,Z,,69
70,191,Cokéfaction,3,19,1,,,,70
71,3103,Fabrication de matelas,4,31,0,3,,,71
72,0710Z,Extraction de minerais de fer,5,07,1,0,Z,,72
73,1071,Fabrication de pain et de pâtisserie fraîche,4,10,7,1,,,73
74,202,Fabrication de pesticides et d’autres produits agrochimiques,3,20,2,,,,74
75,2731Z,Fabrication de câbles de fibres optiques,5,27,3,1,Z,,75
76,6512Z,Autres assurances,5,65,1,2,Z,,76
77,3523Z,Commerce de combustibles gazeux par conduites,5,35,2,3,Z,,77
78,9313Z,Activités des centres de culture physique,5,93,1,3,Z,,78
79,8690F,Activités de santé humaine non classées ailleurs,5,86,9,0,F,,79
80,1091,Fabrication d'aliments pour animaux de ferme,4,10,9,1,,,80
81,81,Services relatifs aux bâtiments et aménagement paysager,2,81,,,,,81
82,8560Z,Activités de soutien à l'enseignement,5,85,6,0,Z,,82
83,1084,Fabrication de condiments et assaisonnements,4,10,8,4,,,83
84,5811,Édition de livres,4,58,1,1,,,84
85,4726Z,Comm. détail de produits à base de tabac en magasin spécialisé,5,47,2,6,Z,,85
86,9411,Activités des organisations patronales et consulaires,4,94,1,1,,,86
87,2014,Fabrication d'autres produits chimiques organiques de base,4,20,1,4,,,87
88,4673A,Commerce de gros de bois et de matériaux de construction,5,46,7,3,A,,88
89,2030,"Fabrication de peintures, vernis, encres et mastics",4,20,3,0,,,89
90,4611Z,"Interm. du comm. en m.p. agricoles & textiles, animaux vivants",5,46,1,1,Z,,90
91,3299Z,Autres activités manufacturières n.c.a.,5,32,9,9,Z,,91
92,4399B,Travaux de montage de structures métalliques,5,43,9,9,B,,92
93,5030,Transports fluviaux de passagers,4,50,3,0,,,93
94,2351,Fabrication de ciment,4,23,5,1,,,94
95,6190,Autres activités de télécommunication,4,61,9,0,,,95
96,3513,Distribution d'électricité,4,35,1,3,,,96
97,4669B,Commerce de gros de fournitures et équipements industriels divers,5,46,6,9,B,,97
98,4661Z,Commerce de gros (commerce interentreprises) de matériel agricole,5,46,6,1,Z,,98
99,7490,"Autres activités spécialisées, scientifiques et techniques n.c.a.",4,74,9,0,,,99
100,3530Z,Production et distribution de vapeur et d'air conditionné,5,35,3,0,Z,,100
101,8542,Enseignement supérieur,4,85,4,2,,,101
102,146,Élevage de porcins,3,14,6,,,,102
103,324,Fabrication de jeux et jouets,3,32,4,,,,103
104,4647,"Commerce de gros de meubles, de tapis et d'appareils d'éclairage",4,46,4,7,,,104
105,0312Z,Pêche en eau douce,5,03,1,2,Z,,105
106,2320Z,Fabrication de produits réfractaires,5,23,2,0,Z,,106
107,8899B,Action sociale sans hébergement n.c.a.,5,88,9,9,B,,107
108,951,Réparation d'ordinateurs et d'équipements de communication,3,95,1,,,,108
109,310,Fabrication de meubles,3,31,0,,,,109
110,05,Extraction de houille et de lignite,2,05,,,,,110
111,1061,Travail des grains,4,10,6,1,,,111
112,4631,Commerce de gros de fruits et légumes,4,46,3,1,,,112
113,5224B,Manutention non portuaire,5,52,2,4,B,,113
114,6820B,Location de terrains et d'autres biens immobiliers,5,68,2,0,B,,114
115,562,Traiteurs et autres services de restauration,3,56,2,,,,115
116,6629Z,Aut. activités auxiliaires d'assurance et de caisses de retraite,5,66,2,9,Z,,116
117,302,Construction locomotives et autre matériel ferroviaire roulant,3,30,2,,,,117
118,4511Z,Commerce de voitures et de véhicules automobiles légers,5,45,1,1,Z,,118
119,4648Z,Commerce de gros d'articles d'horlogerie et de bijouterie,5,46,4,8,Z,,119
120,2432Z,Laminage à froid de feuillards,5,24,3,2,Z,,120
121,292,Fabrication de carrosseries et remorques,3,29,2,,,,121
122,4781,Commerce de détail alimentaire sur éventaires et marchés,4,47,8,1,,,122
123,872,Héberg. social person. handicap. & malades mentales & toxicomanes,3,87,2,,,,123
124,431,Démolition et préparation des sites,3,43,1,,,,124
125,9499,Activités des organisations associatives n.c.a.,4,94,9,9,,,125
126,3700,Collecte et traitement des eaux usées,4,37,0,0,,,126
127,7735,Location et location-bail de matériels de transport aérien,4,77,3,5,,,127
128,29,Industrie automobile,2,29,,,,,128
129,0220Z,Exploitation forestière,5,02,2,0,Z,,129
130,2752Z,Fabrication d'appareils ménagers non électriques,5,27,5,2,Z,,130
131,2370,"Taille, façonnage et finissage de pierres",4,23,7,0,,,131
132,0163Z,Traitement primaire des récoltes,5,01,6,3,Z,,132
133,899,Autres activités extractives n.c.a.,3,89,9,,,,133
134,6612,Courtage de valeurs mobilières et de marchandises,4,66,1,2,,,134
135,3319Z,Réparation d'autres équipements,5,33,1,9,Z,,135
136,282,Fabrication d'autres machines d'usage général,3,28,2,,,,136
137,9512Z,Réparation d'équipements de communication,5,95,1,2,Z,,137
138,25,"Fabric. produits métalliques, sf machines & équipements",2,25,,,,,138
139,8412Z,Adm. pub. tutelle santé form. cult. & social (aut que sécu. soc.),5,84,1,2,Z,,139
140,5913B,Edition et distribution vidéo,5,59,1,3,B,,140
141,1629Z,"Fabrication objets divers en bois, liège, vannerie et sparterie",5,16,2,9,Z,,141
142,8541Z,Enseignement post-secondaire non supérieur,5,85,4,1,Z,,142
143,2790Z,Fabrication d'autres matériels électriques,5,27,9,0,Z,,143
144,4752,Comm. détail quincaillerie peintures & verres (magasin spéc.),4,47,5,2,,,144
145,4711E,Magasins multi-commerces,5,47,1,1,E,,145
146,0141Z,Élevage de vaches laitières,5,01,4,1,Z,,146
147,6492Z,Autre distribution de crédit,5,64,9,2,Z,,147
148,5813Z,Édition de journaux,5,58,1,3,Z,,148
149,8020,Activités liées aux systèmes de sécurité,4,80,2,0,,,149
150,0150Z,Culture et élevage associés,5,01,5,0,Z,,150
151,3530,Production et distribution de vapeur et d'air conditionné,4,35,3,0,,,151
152,8899,Autre action sociale sans hébergement n.c.a.,4,88,9,9,,,152
153,8413Z,Administration publique (tutelle) des activités économiques,5,84,1,3,Z,,153
154,8541,Enseignement post-secondaire non supérieur,4,85,4,1,,,154
155,4711D,Supermarchés,5,47,1,1,D,,155
156,8621Z,Activité des médecins généralistes,5,86,2,1,Z,,156
157,5520,Hébergement touristique et autre hébergement de courte durée,4,55,2,0,,,157
158,1820,Reproduction d'enregistrements,4,18,2,0,,,158
159,512,Transports aériens de fret et transports spatiaux,3,51,2,,,,159
160,5110,Transports aériens de passagers,4,51,1,0,,,160
161,27,Fabrication d'équipements électriques,2,27,,,,,161
162,232,Fabrication de produits réfractaires,3,23,2,,,,162
163,8030,Activités d'enquête,4,80,3,0,,,163
164,6832A,Administration d'immeubles et autres biens immobiliers,5,68,3,2,A,,164
165,2511,Fabrication de structures métalliques et de parties de structures,4,25,1,1,,,165
166,2352Z,Fabrication de chaux et plâtre,5,23,5,2,Z,,166
167,4774Z,Comm. détail d'articles médicaux & orthopédiques en magasin spéc.,5,47,7,4,Z,,167
168,1091Z,Fabrication d'aliments pour animaux de ferme,5,10,9,1,Z,,168
169,4725Z,Commerce de détail de boissons en magasin spécialisé,5,47,2,5,Z,,169
170,78,Activités liées à l'emploi,2,78,,,,,170
171,653,Caisses de retraite,3,65,3,,,,171
172,8610Z,Activités hospitalières,5,86,1,0,Z,,172
173,4633Z,"Com. gros produits laitiers, oeufs, huiles & mat. grasses comest.",5,46,3,3,Z,,173
174,7320Z,Études de marché et sondages,5,73,2,0,Z,,174
175,1391,Fabrication d'étoffes à mailles,4,13,9,1,,,175
176,3109B,Fabrication autres meubles & industries connexes de l'ameublement,5,31,0,9,B,,176
177,6910,Activités juridiques,4,69,1,0,,,177
178,74,"Autres activités spécialisées, scientifiques et techniques",2,74,,,,,178
179,970,Activ. ménages : employeurs de personnel domestique,3,97,0,,,,179
180,9311Z,Gestion d'installations sportives,5,93,1,1,Z,,180
181,2891,Fabrication de machines pour la métallurgie,4,28,9,1,,,181
182,3240,Fabrication de jeux et jouets,4,32,4,0,,,182
183,4540Z,Commerce et réparation de motocycles,5,45,4,0,Z,,183
184,119,Autres cultures non permanentes,3,11,9,,,,184
185,2312Z,Façonnage et transformation du verre plat,5,23,1,2,Z,,185
186,9103,Gestion sites monuments historiques & attractions tourist. simil.,4,91,0,3,,,186
187,5510Z,Hôtels et hébergement similaire,5,55,1,0,Z,,187
188,8421,Affaires étrangères,4,84,2,1,,,188
189,1420Z,Fabrication d'articles en fourrure,5,14,2,0,Z,,189
190,2821,Fabrication de fours et brûleurs,4,28,2,1,,,190
191,4213,Construction de ponts et tunnels,4,42,1,3,,,191
192,1420,Fabrication d'articles en fourrure,4,14,2,0,,,192
193,1052,Fabrication de glaces et sorbets,4,10,5,2,,,193
194,823,Organisation de salons professionnels et congrès,3,82,3,,,,194
195,7320,Études de marché et sondages,4,73,2,0,,,195
196,4635Z,Commerce de gros de produits à base de tabac,5,46,3,5,Z,,196
197,4540,Commerce et réparation de motocycles,4,45,4,0,,,197
198,3320B,Installation de machines et équipements mécaniques,5,33,2,0,B,,198
199,41,Construction de bâtiments,2,41,,,,,199
200,1104Z,Production d'autres boissons fermentées non distillées,5,11,0,4,Z,,200
201,7112A,Activité des géomètres,5,71,1,2,A,,201
202,2363Z,Fabrication de béton prêt à l'emploi,5,23,6,3,Z,,202
203,3822Z,Traitement et élimination des déchets dangereux,5,38,2,2,Z,,203
204,2899A,Fabrication de machines d'imprimerie,5,28,9,9,A,,204
205,9411Z,Activités des organisations patronales et consulaires,5,94,1,1,Z,,205
206,351,"Production, transport et distribution d'électricité",3,35,1,,,,206
207,3514,Commerce d'électricité,4,35,1,4,,,207
208,77,Activités de location et location-bail,2,77,,,,,208
209,1520,Fabrication de chaussures,4,15,2,0,,,209
210,45,Commerce et réparation d'automobiles et de motocycles,2,45,,,,,210
211,0124Z,Culture de fruits à pépins et à noyau,5,01,2,4,Z,,211
212,4771Z,Commerce de détail d'habillement en magasin spécialisé,5,47,7,1,Z,,212
213,5812,Édition de répertoires et de fichiers d'adresses,4,58,1,2,,,213
214,2342,Fabrication d'appareils sanitaires en céramique,4,23,4,2,,,214
215,5829,Édition d'autres logiciels,4,58,2,9,,,215
216,4511,Commerce de voitures et de véhicules automobiles légers,4,45,1,1,,,216
217,3316Z,Réparation et maintenance d'aéronefs et d'engins spatiaux,5,33,1,6,Z,,217
218,4291Z,Construction d'ouvrages maritimes et fluviaux,5,42,9,1,Z,,218
219,6832,Administration de biens immobiliers,4,68,3,2,,,219
220,22,Fabrication de produits en caoutchouc et en plastique,2,22,,,,,220
221,452,Entretien et réparation de véhicules automobiles,3,45,2,,,,221
222,0812Z,"Exploit gravieres & sablieres, extraction argiles & kaolin",5,08,1,2,Z,,222
223,1082Z,"Fabrication de cacao, chocolat et de produits de confiserie",5,10,8,2,Z,,223
224,273,Fabric. fils câbles & matériel d'installation électrique,3,27,3,,,,224
225,2894Z,Fabrication de machines pour les industries textiles,5,28,9,4,Z,,225
226,1031Z,Transformation et conservation de pommes de terre,5,10,3,1,Z,,226
227,3314,Réparation d'équipements électriques,4,33,1,4,,,227
228,0510Z,Extraction de houille,5,05,1,0,Z,,228
229,8790A,Hébergement social pour enfants en difficultés,5,87,9,0,A,,229
230,2892,Fabrication de machines pour l'extraction ou la construction,4,28,9,2,,,230
231,4799,"Autres commerces de détail hors magasin, éventaires ou marchés",4,47,9,9,,,231
232,7220,Recherche-développement en sciences humaines et sociales,4,72,2,0,,,232
233,1520Z,Fabrication de chaussures,5,15,2,0,Z,,233
234,4690Z,Commerce de gros (commerce interentreprises) non spécialisé,5,46,9,0,Z,,234
235,2453Z,Fonderie de métaux légers,5,24,5,3,Z,,235
236,5210A,Entreposage et stockage frigorifique,5,52,1,0,A,,236
237,851,Enseignement pré-primaire,3,85,1,,,,237
238,4674A,Commerce de gros (commerce interentreprises) de quincaillerie,5,46,7,4,A,,238
239,3832,Récupération de déchets triés,4,38,3,2,,,239
240,2314,Fabrication de fibres de verre,4,23,1,4,,,240
241,4753,"Comm. détail tapis, moquettes & revêts murs & sols (magas. spéc.)",4,47,5,3,,,241
242,2593,"Fabrication d'articles en fils métalliques, chaînes et ressorts",4,25,9,3,,,242
243,3012Z,Construction de bateaux de plaisance,5,30,1,2,Z,,243
244,7219Z,Recherche-développement : autres sciences physiques et naturelles,5,72,1,9,Z,,244
245,2364,Fabrication de mortiers et bétons secs,4,23,6,4,,,245
246,9522Z,Réparation appareils électromén. & équipts maison & jardin,5,95,2,2,Z,,246
247,1062Z,Fabrication de produits amylacés,5,10,6,2,Z,,247
248,4299Z,Construction d'autres ouvrages de génie civil n.c.a.,5,42,9,9,Z,,248
249,4638B,Commerce de gros alimentaire spécialisé divers,5,46,3,8,B,,249
250,10,Industries alimentaires,2,10,,,,,250
251,4719,Autre commerce de détail en magasin non spécialisé,4,47,1,9,,,251
252,3011Z,Construction de navires et de structures flottantes,5,30,1,1,Z,,252
253,501,Transports maritimes et côtiers de passagers,3,50,1,,,,253
254,2017Z,Fabrication de caoutchouc synthétique,5,20,1,7,Z,,254
255,3212Z,Fabrication d’articles de joaillerie et bijouterie,5,32,1,2,Z,,255
256,0130Z,Reproduction de plantes,5,01,3,0,Z,,256
257,2932,Fabrication d'autres équipements automobiles,4,29,3,2,,,257
258,9003A,Création artistique relevant des arts plastiques,5,90,0,3,A,,258
259,1092Z,Fabrication d'aliments pour animaux de compagnie,5,10,9,2,Z,,259
260,0210Z,Sylviculture et autres activités forestières,5,02,1,0,Z,,260
261,8299Z,Autres activités de soutien aux entreprises n.c.a.,5,82,9,9,Z,,261
262,2932Z,Fabrication d'autres équipements automobiles,5,29,3,2,Z,,262
263,37,Collecte et traitement des eaux usées,2,37,,,,,263
264,4791,Vente à distance,4,47,9,1,,,264
265,4333Z,Travaux de revêtement des sols et des murs,5,43,3,3,Z,,265
266,2433,Profilage à froid par formage ou pliage,4,24,3,3,,,266
267,619,Autres activités de télécommunication,3,61,9,,,,267
268,86,Activités pour la santé humaine,2,86,,,,,268
269,3040,Construction de véhicules militaires de combat,4,30,4,0,,,269
